UNIX TIME;TIME;LAT;LONG;ALT;DIST;HR;CAD;TEMP;POWER,,,,
1455985971;2016-02-20T16:32:51Z;45,422643;10,95269;125,0;0;0;0;No Data;No Data,
1455985972;2016-02-20T16:32:52Z;45,422655;10,952675;125,0;0,0017782;0;0;No Data;No Data
1455985976;2016-02-20T16:32:56Z;45,42269;10,95258;127,0;0,0101615;0;0;No Data;No Data
1455985979;2016-02-20T16:32:59Z;45,42269;10,95247;125,0;0,018756;0;0;No Data;No Data
1455985982;2016-02-20T16:33:02Z;45,422681;10,95236;123,0;0,0274014;0;0;No Data;No Data
1455985987;2016-02-20T16:33:07Z;45,42267;10,952245;120,0;0,0364701;0;0;No Data;No Data
1455985991;2016-02-20T16:33:11Z;45,42264;10,95215;113,0;0,0446101;0;0;No Data;No Data
1455985996;2016-02-20T16:33:16Z;45,422626;10,95203;108,0;0,0541037;0;0;No Data;No Data
1455985999;2016-02-20T16:33:19Z;45,422611;10,951925;106,0;0,0624622;0;0;No Data;No Data
1455986003;2016-02-20T16:33:23Z;45,42258;10,951815;100,0;0,0717246;0;0;No Data;No Data
1455986113;2016-02-20T16:35:13Z;45,421851;10,94748;116,0;0,4200289;0;0;No Data;No Data
1455986115;2016-02-20T16:35:15Z;45,421795;10,947385;122,0;0,4297231;0;0;No Data;No Data
1455986118;2016-02-20T16:35:18Z;45,421755;10,947235;124,0;0,4422618;0;0;No Data;No Data
1455986121;2016-02-20T16:35:21Z;45,421741;10,94713;126,0;0,4506002;0;0;No Data;No Data
1455986125;2016-02-20T16:35:25Z;45,42172;10,947;122,0;0,4610237;0;0;No Data;No Data
1455986128;2016-02-20T16:35:28Z;45,42171;10,946885;120,0;0,4700784;0;0;No Data;No Data
1455986131;2016-02-20T16:35:31Z;45,421685;10,946756;121,0;0,4804854;0;0;No Data;No Data
1455986134;2016-02-20T16:35:34Z;45,42166;10,94664;119,0;0,4899676;0;0;No Data;No Data
1455986137;2016-02-20T16:35:37Z;45,42163;10,946528;117,0;0,4993106;0;0;No Data;No Data
1455986140;2016-02-20T16:35:40Z;45,421615;10,94641;116,0;0,5086806;0;0;No Data;No Data
1455986143;2016-02-20T16:35:43Z;45,421596;10,946291;116,0;0,5181494;0;0;No Data;No Data
1455986146;2016-02-20T16:35:46Z;45,42158;10,94618;117,0;0,5270039;0;0;No Data;No Data
1455986149;2016-02-20T16:35:49Z;45,421561;10,946053;118,0;0,5371096;0;0;No Data;No Data
1455986152;2016-02-20T16:35:52Z;45,421545;10,945935;115,0;0,5465008;0;0;No Data;No Data
1455986155;2016-02-20T16:35:55Z;45,421526;10,945805;117,0;0,5568621;0;0;No Data;No Data
1455986158;2016-02-20T16:35:58Z;45,421505;10,945686;115,0;0,5663994;0;0;No Data;No Data
1455986161;2016-02-20T16:36:01Z;45,421485;10,945575;115,0;0,5753543;0;0;No Data;No Data
1455986164;2016-02-20T16:36:04Z;45,42147;10,94547;115,0;0,5837273;0;0;No Data;No Data
1455986168;2016-02-20T16:36:08Z;45,421455;10,945336;111,0;0,5942791;0;0;No Data;No Data
1455986171;2016-02-20T16:36:11Z;45,421436;10,94524;109,0;0,6020529;0;0;No Data;No Data
1455986175;2016-02-20T16:36:15Z;45,421426;10,9451;109,0;0,6130418;0;0;No Data;No Data
1455986179;2016-02-20T16:36:19Z;45,42141;10,944985;106,0;0,6222022;0;0;No Data;No Data
1455986182;2016-02-20T16:36:22Z;45,421375;10,944865;104,0;0,632357;0;0;No Data;No Data
1455986185;2016-02-20T16:36:25Z;45,421351;10,944755;100,0;0,6413371;0;0;No Data;No Data
1455986188;2016-02-20T16:36:28Z;45,42133;10,944645;100,0;0,650245;0;0;No Data;No Data
1455986191;2016-02-20T16:36:31Z;45,421315;10,944525;97,0;0,6597695;0;0;No Data;No Data
1455986194;2016-02-20T16:36:34Z;45,421296;10,944395;97,0;0,6701304;0;0;No Data;No Data
1455986197;2016-02-20T16:36:37Z;45,421276;10,944273;98,0;0,679878;0;0;No Data;No Data
1455986200;2016-02-20T16:36:40Z;45,421255;10,944155;97,0;0,6893906;0;0;No Data;No Data
1455986203;2016-02-20T16:36:43Z;45,42124;10,94403;96,0;0,6993;0;0;No Data;No Data
1455986206;2016-02-20T16:36:46Z;45,421225;10,943916;95,0;0,7083122;0;0;No Data;No Data
